ID,column,row,cycle,line,vertical,sequence,text,height,y
1,1,1,Y,N,N,1,潜客,100,0
2,1,2,N,Y,N,2,口碑介绍|推广搜索,100,0
3,1,3,Y,N,N,3,咨询阶段,100,0
4,1,4,N,Y,N,4,订单催付|付款后关怀,100,0
5,1,5,Y,N,N,5,预定,100,0
6,1,6,N,Y,N,6,预定提醒|入住提醒|异常处理,100,0
7,1,7,Y,N,N,7,入住/新客,100,0
8,1,8,N,Y,N,8,交易成功|退款通知|分享传播,100,0
9,1,9,Y,N,N,9,入住期间,100,0
10,2,1,N,N,N,0,,200,100
11,2,2,N,N,N,0,,200,100
12,2,3,N,N,N,0,,200,100
13,2,4,N,N,N,0,,200,100
14,2,5,Y,N,N,15,激活,200,100
15,2,6,N,Y,N,14,休眠激活,200,100
16,2,7,Y,N,N,13,休眠,200,100
17,2,8,N,N,N,0,,200,100
18,2,9,N,N,Y,10,关联推荐|新品推荐|满意度调研,200,100
19,3,1,Y,N,N,19,粉丝,100,300
20,3,2,N,Y,N,18,活动营销|主动营销|节日营销|话题营销|品牌营销,100,300
21,3,3,Y,N,N,17,老客户,100,300
22,3,4,N,Y,N,16,老客户专享,100,300
23,3,5,Y,N,N,15,入住,100,300
24,3,6,N,Y,N,14,老客权益,100,300
25,3,7,Y,N,N,13,再次预定,100,300
26,3,8,N,Y,N,12,评价管理|新品营销|单品营销,100,300
27,3,9,Y,N,N,11,离开,100,300
28,4,1,N,N,N,0,,100,400
29,4,2,N,N,N,0,,100,400
30,4,3,N,N,N,0,,100,400
31,4,4,N,N,N,0,,100,400
32,4,5,Y,N,N,15,咨询,100,400
33,4,6,N,Y,N,14,口碑权益,100,400
34,4,7,Y,N,N,13,介绍,100,400
35,4,8,N,N,N,0,,100,400
36,4,9,N,N,N,0,,100,400
